gene	n_bins	sum_x1_ESC	sum_x2_NPC	ratio_x2_over_x1
9230112D13Rik	3	4	13	3.25
9230112J17Rik	3	3	8	2.6666666666666665
9230114K14Rik	1	2	2	1.0
9230116L04Rik	3	7	10	1.4285714285714286
9230116N13Rik	2	6	5	0.8333333333333334
9230117E06Rik	3	16	13	0.8125
9330020H09Rik	3	7	13	1.8571428571428572
9330102E08Rik	3	7	11	1.5714285714285714
9330104G04Rik	3	5	12	2.4
9330111N05Rik	3	5	10	2.0
9330117O12Rik	3	3	16	5.333333333333333
9330133O14Rik	1	6	4	0.6666666666666666
9330136K24Rik	1	0	1	NA
9330151L19Rik	3	7	6	0.8571428571428571
9330158H04Rik	1	0	1	NA
9330159F19Rik	3	2	3	1.5
9330159M07Rik	3	1	0	0.0
9330162012Rik	3	29	11	0.3793103448275862
9330162B11Rik	3	7	13	1.8571428571428572
9330175E14Rik	3	5	3	0.6
9330175M20Rik	3	12	8	0.6666666666666666
9330178D15Rik	3	0	0	NA
9330179D12Rik	3	35	7	0.2
9330182L06Rik	3	8	10	1.25
9330182O14Rik	3	9	8	0.8888888888888888
9330188P03Rik	3	2	8	4.0
9330198I05Rik	3	21	30	1.4285714285714286
9330199G10Rik	3	0	0	NA
9430014N10Rik	3	9	10	1.1111111111111112
9430015G10Rik	3	0	0	NA
9430018G01Rik	3	3	10	3.3333333333333335
9430019J16Rik	3	16	10	0.625
9430021M05Rik	1	4	6	1.5
9430037G07Rik	3	1	1	1.0
9430038I01Rik	3	26	24	0.9230769230769231
9430041J12Rik	2	33	17	0.5151515151515151
9430060I03Rik	3	14	8	0.5714285714285714
9430065F17Rik	1	0	0	NA
9430069I07Rik	3	10	10	1.0
9430078K24Rik	3	10	7	0.7
9430083A17Rik	3	19	7	0.3684210526315789
9430091E24Rik	3	16	5	0.3125
9530002B09Rik	3	6	11	1.8333333333333333
9530003J23Rik	3	3	3	1.0
9530014B07Rik	3	6	13	2.1666666666666665
9530020I12Rik	3	13	12	0.9230769230769231
9530026F06Rik	3	2	5	2.5
9530026P05Rik	3	9	10	1.1111111111111112
9530027J09Rik	3	3	8	2.6666666666666665
9530036O11Rik	3	221	46	0.2081447963800905
9530051G07Rik	1	0	1	NA
9530052C20Rik	2	4	6	1.5
9530052E02Rik	3	36	9	0.25
9530053A07Rik	3	1	4	4.0
9530059O14Rik	3	17	67	3.9411764705882355
9530062K07Rik	3	17	12	0.7058823529411765
9530068E07Rik	3	3	3	1.0
9530077C05Rik	3	7	12	1.7142857142857142
9530080O11Rik	1	4	2	0.5
9530082P21Rik	3	16	6	0.375
9530091C08Rik	3	4	14	3.5
9630001P10Rik	3	5	10	2.0
9630013A20Rik	3	2	8	4.0
9630013K17Rik	3	8	6	0.75
9630028B13Rik	3	0	2	NA
9630028H03Rik	3	10	13	1.3
9630028I04Rik	3	28	8	0.2857142857142857
9830107B12Rik	3	12	13	1.0833333333333333
9830132P13Rik	3	122	72	0.5901639344262295
9830166K06Rik	3	22	23	1.0454545454545454
